artifact_edge_id	loop_ref	artifact_object_id	artifact_role	artifact_category	coverage_resolution	coverage_evidence_kind	coverage_evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
artifact-edge-044983120807252	loop-246434796949791	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:4344e94c:c67ada82:265d84f5:84424f57:89c5949a:10d488d5:4ab74b9c:195f680a	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-045007098654489	loop-005888075817814	artifact-object-035862048293781	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:9b4b6e4a:eda6ba8a:792c5316:78b0e085:25bccd2b:9b949a73:ca3e3fad:ac8be32e	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-045209780249944	loop-147819123099356	artifact-object-126129713547242	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:6bb1dd6a:9d7fb7d3:2e9501db:f6c3f591:9fbb2637:faf25f4c:8e19094c:25dddbf0	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-045329079029331	loop-132352140227087	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:3b5b629b:161f90b9:5ebd23d8:2aceeeaf:33247ae1:c95764dd:b636a0b6:364dbb2e	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-045361859434560	loop-115715627785043	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:6e22b4e3:3e894303:d7bd3e27:a5db3da5:9684d9d2:d2fca178:405d16a9:5f724f83	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-045464574624045	loop-144354923110496	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:059d56a8:afbe7fee:d1b05c29:9bd6b638:8023f63d:e7998364:c9cbfad0:b92dfd01	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-045573164044165	loop-263594957429917	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:8477ed96:632a5695:e195dc2c:5247c556:8756bd62:41812822:92a769b4:5c17421c	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-045640654237181	loop-226596641638513	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:92b77fa8:d98be88d:a36e09c4:0cf0e5a2:e9d90811:d63a0dfc:cac68376:3bb99e8e	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-045679381994134	loop-191128611483857	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:cd777750:c6829d07:89e8e1e1:4bf610f8:93bb5428:b4a91489:6c2562fb:65409ce7	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-045958230041945	loop-164836303306762	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:a6a73882:439248bd:c0f3f0c1:893ae380:06517a6d:fa180cc2:839d033c:48fe8ffb	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-046053682150484	loop-227036177212879	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:658ae1f8:319665a2:c5ba5fc2:3b8d8f70:7fe12b12:de93d689:d1fa7519:304ce466	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-046054335239067	loop-012186853686760	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:8ce305cd:566b6bb4:b2657c14:ebbacef7:36d609ae:0f8c9d14:43427f8f:f852cf11	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-046192702710513	loop-002832447279784	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:5108d6ae:78b164e8:6738646c:eadadbd2:ad30f4d8:2b3f275a:f4a9241f:2ffbc746	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-046685062686529	loop-146562640393288	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:64475c6c:08599063:19831479:fb2307ec:67755a6b:73e32f91:77900bc6:362e1beb	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
