effect_edge_id	loop_ref	effect_object_id	effect_role	effect_category	coverage_resolution	policy_status	evidence_kind	evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
effect-edge-238335489019897	loop-005888075817814	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b4b6e4a:eda6ba8a:792c5316:78b0e085:25bccd2b:9b949a73:ca3e3fad:ac8be32e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-252141707405549	loop-005888075817814	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b4b6e4a:eda6ba8a:792c5316:78b0e085:25bccd2b:9b949a73:ca3e3fad:ac8be32e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-055315767824182	loop-006160088166321	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ade94cfa:1920816b:e72f2859:0bcaf645:583ccd68:9c4789f9:29fc7b5e:54bc46c5	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-218934484702101	loop-006160088166321	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ade94cfa:1920816b:e72f2859:0bcaf645:583ccd68:9c4789f9:29fc7b5e:54bc46c5	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-241692162209713	loop-006160088166321	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ade94cfa:1920816b:e72f2859:0bcaf645:583ccd68:9c4789f9:29fc7b5e:54bc46c5	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-086392602667860	loop-006160088166321	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ade94cfa:1920816b:e72f2859:0bcaf645:583ccd68:9c4789f9:29fc7b5e:54bc46c5	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-278965031622304	loop-006160088166321	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ade94cfa:1920816b:e72f2859:0bcaf645:583ccd68:9c4789f9:29fc7b5e:54bc46c5	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-039595153413625	loop-006568355897643	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2b730c9e:effb2289:2ccf04ea:35a348e5:fb18372f:554dd407:bc0e5e74:e69304fa	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-229512028055051	loop-006568355897643	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2b730c9e:effb2289:2ccf04ea:35a348e5:fb18372f:554dd407:bc0e5e74:e69304fa	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-266137403207272	loop-006568355897643	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2b730c9e:effb2289:2ccf04ea:35a348e5:fb18372f:554dd407:bc0e5e74:e69304fa	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-170073748625825	loop-006568355897643	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2b730c9e:effb2289:2ccf04ea:35a348e5:fb18372f:554dd407:bc0e5e74:e69304fa	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-001800071744210	loop-006568355897643	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2b730c9e:effb2289:2ccf04ea:35a348e5:fb18372f:554dd407:bc0e5e74:e69304fa	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-246709405608038	loop-006952591142373	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:66d2b9c6:960633f4:2153bca4:cbaa9dda:4416beb1:35ee2def:32dca83a:0182a650	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
